id,name,level,parentId,parentName,fullPath,notes
14,Home,1,,,"Home","Root: all home/household expenses"
21,Groceries,2,14,Home,"Home > Groceries","Supermarkets: Star Bazaar, DMart, Blinkit, Zepto, OSIA, general stores"
22,Milk & Dairy,2,14,Home,"Home > Milk & Dairy","Krishna Dairy, Himmatsih milk vendor, Amul, Gopi Dairy"
23,Utilities,2,14,Home,"Home > Utilities","Electricity, gas (Adani Gas), mobile recharge (Vi), municipal tax (AMC)"
24,Maintenance,2,14,Home,"Home > Maintenance","Utensils (Giriraj Vasan Bhandar), repairs, society maintenance (Darshan Developers)"
50,Misc,2,14,Home,"Home > Misc","Dhobi/laundry (Suresh Dhobi), domestic help, PrajapatiTarabenBharatbha (maid)"
15,Transport,1,,,"Transport","Root: all travel/vehicle expenses"
26,Activa,2,15,Transport,"Transport > Activa","General Activa category (use sub-categories below)"
46,Petrol,3,26,Activa,"Transport > Activa > Petrol","Arjun Petroleum, Purnima Motors"
48,Maintenance,3,26,Activa,"Transport > Activa > Maintenance","Tyre, servicing (Jay Shree Bhavani Store)"
29,Metro,2,15,Transport,"Transport > Metro","Gujarat Metro Rail, Airtel NCMC (metro recharge card top-up @ ₹201.18)"
30,Cab & Auto,2,15,Transport,"Transport > Cab & Auto","Rapido (also appears as ROPPEN TRANSPORTATION SERVICES)"
44,Travel,2,15,Transport,"Transport > Travel","Indian Railways, long-distance travel tickets"
16,Food & Dining,1,,,"Food & Dining","Root: all food expenses outside home"
57,Dinner,3,59,Personal Meals,"Food & Dining > Personal Meals > Dinner","Sit-down meals: Shree Udipi Restaurant (Dosa), Nirpat Singh"
59,Fast food,3,16,Personal Meals,"Food & Dining > Personal Meals > Fast food","Street vendors, bakeries, quick bites — most small UPI payments to individuals"
61,Dinner (Outside with Wife),3,63,Outside with Wife,"Food & Dining > Outside with Wife > Dinner","Jalaram Kathiyawadi Dhaba, date-night restaurants"
63,Outside with Wife,2,16,Food & Dining,"Food & Dining > Outside with Wife","Zomato orders, pan parlour, ice cream (Vadilal), couple outings"
17,Shopping,1,,,"Shopping","Root: all shopping/retail"
34,Household Items,2,17,Shopping,"Shopping > Household Items","Agarbatti (Rajeshwari), flour mill (Nageshvari), mobile cover, utensils"
66,Wife's Shopping (Cloths),2,17,Shopping,"Shopping > Wife's Shopping","Rudra Fashion (Nilu na Kapda), Trends/Westside (Trent), Rational Handloom (fabric)"
18,Personal Wellbeing,1,,,"Personal Wellbeing","Root: health, grooming, self-care"
68,Medical Sickness,2,18,Personal Wellbeing,"Personal Wellbeing > Health > Medical Sickness","Shreya Medical Store, Ambika Medical, Aayush Medical, Kathvadiya Bhaveshkumar"
19,Leisure,1,,,"Leisure","Root: entertainment, travel, fun"
20,Leisure (general),2,19,Leisure,"Leisure > Leisure","Kites (Uttarayan), miscellaneous leisure"
42,Entertainment,2,19,Leisure,"Leisure > Entertainment","Balvatika Fun Carnival, The Lal Street, club outings"
44,Travel,2,19,Leisure,"Leisure > Travel","Trains, trips (Indian Railways Valsad)"
